id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z22fshubkobjene3jacdp43b4duw5tfrdfugxg5xftlw03c010c,Shawn Great,4 hours ago,1505652010044,"so good ,  im so happy I  find you sing this song today",0,false,0,,,,,,
z23hvdjahoaljhat2acdp43bq0k2qzeyw2o3zqzebudw03c010c,李學豪,2 days ago,1505493610048,很有感觸 謝謝,0,false,0,,,,,,
z23mytz5oxjzyfjbj04t1aokgskswj1thofpntz5qwnurk0h00410,王姿阿,3 days ago,1505407210051,聽第一段，直接訂閱了😜,1,true,1,,,,,,
,,,,,,,,z23mytz5oxjzyfjbj04t1aokgskswj1thofpntz5qwnurk0h00410.1505405510469919,吳海文 Kevin Wu,3 days ago,1505407210506,這個決定是對的😆,1
z225gzz5wwetxrggi04t1aokggbat202rnw2l10r1q45rk0h00410,衛胤黎,4 days ago,1505320810054,好聽!,1,true,1,,,,,,
,,,,,,,,z225gzz5wwetxrggi04t1aokggbat202rnw2l10r1q45rk0h00410.1505405362519085,吳海文 Kevin Wu,3 days ago,1505407210576,謝謝🙌🏻,0
z22nsrggmsvwctkyd04t1aokgsslauw0d2newvblgroqbk0h00410,林其緯,4 days ago,1505320810058,有吉他的譜嗎,1,true,1,,,,,,
,,,,,,,,z22nsrggmsvwctkyd04t1aokgsslauw0d2newvblgroqbk0h00410.1505405337509607,吳海文 Kevin Wu,3 days ago,1505407210560,沒有😂,0
z22zwzdour22jp4clacdp430sigcr5yeuopktqjvsrtw03c010c,邱小樂,5 days ago,1505234410062,好聽~,1,true,1,,,,,,
,,,,,,,,z22zwzdour22jp4clacdp430sigcr5yeuopktqjvsrtw03c010c.1505405197344117,吳海文 Kevin Wu,3 days ago,1505407210615,謝謝支持🙌🏻,0
z23ajp1jauilv1jcyacdp435tffpp2vekjghm3zfwmhw03c010c,BONjour lele,1 week ago,1505061610068,好舒服的歌聲，超好聽,0,true,1,,,,,,
,,,,,,,,z23ajp1jauilv1jcyacdp435tffpp2vekjghm3zfwmhw03c010c.1505051889971614,吳海文 Kevin Wu,1 week ago,1505061610497,那怎麼能不訂閱呢？🙈❤️,0
z23gjlqgil31ibfj104t1aokgdvrag0t4drnk1reybz1bk0h00410,潘家翔,1 week ago,1505061610074,唱出了我的心情   聽你唱得歌  好舒服,0,true,1,,,,,,
,,,,,,,,z23gjlqgil31ibfj104t1aokgdvrag0t4drnk1reybz1bk0h00410.1505051833292578,吳海文 Kevin Wu,1 week ago,1505061610519,❤️,0
z22df1k5ekbxullgd04t1aokgwr2p4opjha0qajg2mmwrk0h00410,董寶慶,1 week ago,1505061610079,如果能讓我再重新選擇一次，我會選擇不婚。,0,true,4,,,,,,
,,,,,,,,z22df1k5ekbxullgd04t1aokgwr2p4opjha0qajg2mmwrk0h00410.1505051820260213,吳海文 Kevin Wu,1 week ago,1505061610546,☹️,0
,,,,,,,,z22df1k5ekbxullgd04t1aokgwr2p4opjha0qajg2mmwrk0h00410.1505148119956248,董寶慶,5 days ago,1505234410549,海文~SORRY~讓你擔心了，你放心，我為母則強。,1
,,,,,,,,z22df1k5ekbxullgd04t1aokgwr2p4opjha0qajg2mmwrk0h00410.1505148825063750,吳海文 Kevin Wu,5 days ago,1505234410551,董寶慶 加油🌹,1
,,,,,,,,z22df1k5ekbxullgd04t1aokgwr2p4opjha0qajg2mmwrk0h00410.1505150746585227,董寶慶,5 days ago,1505234410554,THANKS!,0
z22jyn3hpzqzw132bacdp435s13410upbnwp2uxldolw03c010c,蔡育廷,1 week ago,1505061610084,真的好好聽 很療癒很有溫度的聲音,0,true,1,,,,,,
,,,,,,,,z22jyn3hpzqzw132bacdp435s13410upbnwp2uxldolw03c010c.1505051725868200,吳海文 Kevin Wu,1 week ago,1505061610624,也介紹給你朋友聽吧 ❤️,0
z22hspuglxqkf5wq304t1aokg5bxvfgabi2gv5byuws4bk0h00410,沐月 王,1 week ago,1505061610088,发音已经很标准,1,true,1,,,,,,
,,,,,,,,z22hspuglxqkf5wq304t1aokg5bxvfgabi2gv5byuws4bk0h00410.1505051505085282,吳海文 Kevin Wu,1 week ago,1505061610534,謝謝老師,0
